Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Aari-Gayil,"Aari, Gayil",aiz,"aiw, gyl",aari1238,"aari1239, gayi1237"
Aari,,aiw,,aari1239,
Aariya,,aay,,aari1240,
Aasax,,aas,,aasa1238,
Ababuan,"Bali-Beeke, Old Bomokandian",,,abab1240,"bali1286, oldb1234"
Abadi,,kbt,,abad1241,
Abaga,,abg,,abag1245,
Abai Sungai,,abf,,abai1240,
Abai Tubu-Abai Sembuak,,,,abai1241,
Abanyom,,abm,,aban1242,
Abanyom-Nkem-Nkum,"Abanyom, Nkem-Nkum",,"abm, isi",aban1245,"aban1242, nkem1242"
Mungbam,"Missong, Mungba, Abar, Biya, Munken, Ngun",mij,,abar1238,"miss1255, mung1275, abar1239, biya1235, munk1244, ngun1279"
Abau,,aau,,abau1245,
Abaza,"Ashkaraua, Bezshagh, Tapanta",abq,,abaz1241,"ashk1247, bezs1238, tapa1256"
Abé,"Abbey-Ve, Kos, Morie, Tioffo",aba,,abee1242,"abbe1238, koss1238, mori1266, tiof1238"
Abellen-Botolan,"Abenlen Ayta, Botolan Sambal",,"abp, sbl",abel1234,"aben1249, boto1242"
Abenlen Ayta,,abp,,aben1249,
Abenaki,"Eastern Abenaki, Western Abenaki",,"aaq, abe",aben1250,"east2544, west2630"
Abidji,"Enyembe, Ogbru",abi,,abid1235,"enye1238, ogbr1242"
Abinomn,,bsa,,abin1243,
Abipon,,axb,,abip1241,
Aewa,,ash,,abis1238,
Abkhaz-Adyge,"Abkhaz-Abaza, Circassian, Ubykh",,uby,abkh1242,"abkh1243, circ1239, ubyk1235"
Abkhaz-Abaza,"Abaza, Abkhaz",,"abq, abk",abkh1243,"abaz1241, abkh1244"
Abkhaz,"Abzhui, Bzyb, Samurzakan",abk,,abkh1244,"abzh1238, bzyb1238, samu1242"
Abo-Barombi,"Bankon, Barombi",,"abb, bbi",abob1234,"bank1256, baro1252"
Abom,,aob,,abom1238,
Abon,,abo,,abon1238,
Abron,,abr,,abro1238,
Abua-Odual,"Abua, Obulom-Ochichi, Odual",,"abn, obu, odu",abua1243,"abua1244, obul1239, odua1238"
Abua,"Central Abuan, Emughan, Okpeden, Otapha",abn,,abua1244,"cent2029, emug1238, okpe1247, otap1238"
Abu' Arapesh,,aah,,abua1245,
Abui,"Alakaman, Atimelang, Kobola, Papuna",abz,,abui1241,"alak1254, atim1239, kobo1247, papu1257"
Abuic,"Abui, Kamang",,"abz, woi",abui1242,"abui1241, kama1365"
Abun,"Abun Je, Abun Tat, Abun Ji",kgr,,abun1252,"abun1253, abun1254, abun1255"
Abure,,abu,,abur1243,
Abureni,,mgj,,abur1244,
Abu,"Auwa, Nuclear Abu, Sabu (Papua New Guinea)",ado,,abuu1241,"auwa1242, nucl1640, sabu1256"
Acatepec Me'phaa,"Acatepec, Platanillo, Zapotitlán Tablas",tpx,,acat1239,"acat1240, plat1255, zapo1435"
Longchuan Achang,"Longchuan, Maingtha, Xiandao",acn,xia,acha1249,"long1373, main1270, xian1249"
Achagua,,aca,,acha1250,
Achangic,"Longchuan Achang, Lianghe Achang, Luxi Achang, Ngochang",,acn,acha1252,"acha1249, lian1258, luxi1238, ngoc1235"
Ache,,yif,,ache1244,
Acheron,"Eastern Acheron, Western Acheron",acz,,ache1245,"east2430, west2504"
Aché,,guq,,ache1246,
Acheron-Tocho,"Acheron, Tocho",,"acz, taz",ache1247,"ache1245, toch1257"
Achi,,acr,,achi1256,
