language_id,language_name,latitude,longitude,lineage
ghot1243,Ghotuo,7.11551,5.95663,"Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, North-Central Edoid, Afenmai-Bendel"
alum1246,Arum,9.01513,8.55956,"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Alumic, Alumu-Toro, Alumu-Akpondu"
arii1243,Ari,-7.95526,142.4,"Suki-Gogodala, Gogodalic, Ari-Waruna"
amal1242,Amal,-4.04517,141.995,Sepik
arbe1236,Arbëreshë Albanian,38.911,16.7164,"Indo-European, Classical Indo-European, Albanian, Albanian-Tosk, Southern Tosk"
aran1261,Aranadan,11.35252,75.79538,"Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Irula, Tamil-Kodagu, Tamil-Malayalam, Malayalamoid"
ambr1239,Ambrak,-3.61,142.56,"Nuclear Torricelli, Wapei-Palei, Central Torricelli, Nuclear Palai, Yangum-Ambrak"
abua1245,Abu' Arapesh,-3.461612,142.917031,"Nuclear Torricelli, Kombio-Arapesh-Urat, Arapesh, Mufian-Bukiyip-Abu, Bukiyip-Abu"
arif1239,Arifama-Miniafia,-9.15565,149.246,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Are-Taupota linkage, Are linkage"
anka1246,Ankave,-7.19444,145.754,"Angan, Nuclear Angan, Ankave-Tainae-Akoye"
afad1236,Afade,12.0551,14.6343,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Kotoko-Buduma, Kotoko Septentrional, Kotoko Septentrional 1"
anam1249,Anambé,-2.71119,310.697,"Tupian, Eastern Tupian, Maweti-Guarani, Aweti-Guarani, Tupi-Guarani, Tupi-Guarani Subgroup V, Arawetic"
alge1240,Algerian Saharan Arabic,20.8884,4.80626,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, North African Arabic"
para1310,Pará Arára,-3.71263,306.9343,"Cariban, Pekodian, Xinguan"
east2544,Eastern Abenaki,45.0112,291.3383,"Algic, Algonquian-Blackfoot, Algonquian, Eastern Algonquian, Maritimes-Southern New England Algonquian, Northern Eastern Algonquian, Abenaki"
afar1241,Afar,12.2281,41.8083,"Afro-Asiatic, Cushitic, East Cushitic, Lowland East Cushitic, Saho-Afar"
aasa1238,Aasax,-4.00679,36.8648,"Afro-Asiatic, Cushitic, South Cushitic"
arva1236,Arvanitika Albanian,38.283,23.3703,"Indo-European, Classical Indo-European, Albanian, Albanian-Tosk, Southern Tosk"
abau1245,Abau,-3.97222,141.324,Sepik
solo1258,Solong,-5.86129,148.825,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Ngero-Vitiaz linkage, Vitiaz linkage, Southwest New Britain linkage, Arawe-Pasismanua, Arawe, West Arawe"
mand1444,Mandobo Atas,-5.69357,140.624,"Nuclear Trans New Guinea, Asmat-Awyu-Ok, Awyu-Ok, Greater Awyu, Awyu-Dumut, Dumut, Mandobo"
amar1273,Amarasi,-10.21751,123.96373,"Austronesian, Malayo-Polynesian, Timor-Babar, Rote-Meto, West Rote, Dengka-Meto, Meto"
