language_id,language_name,SC_ABJAD,SC_ABUGIDA,SC_ALPHABET,SC_FEATURAL,SC_LOGO_SYLLABARY,SC_SYLLABARY,SC_AFRICAN,SC_AMERICAN,SC_ARTIFICIAL,SC_CENTRAL_ASIAN,SC_EAST_ASIAN,SC_EUROPEAN,SC_INDIC,SC_INSULAR_SOUTHEAST_ASIAN,SC_MAINLAND_SOUTHEAST_ASIAN,SC_MIDDLE_EASTERN,SC_SIGNED_LANGUAGE,SC_CURRENT,SC_FICTIONAL,SC_HISTORICAL,SC_HORIZONTAL_LEFT_TO_RIGHT,SC_HORIZONTAL_RIGHT_TO_LEFT,SC_BOUSTROPHEDON,SC_VERTICAL_LEFT_TO_RIGHT,SC_VERTICAL_RIGHT_TO_LEFT,SC_BOTTOM,SC_CENTERED,SC_HANGING,SC_VERTICAL,SC_CASE,SC_WHITE_SPACE,SC_DIACRITICS,SC_CONTEXTUAL_FORMS,SC_COMPLEX_POSITIONING,SC_REORDERING,SC_SPLIT_GRAPHS,SC_LIGATURES,SC_REQUIRED_LIGATURES
ghot1243,Ghotuo,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
alum1246,Arum,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
arii1243,Ari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
amal1242,Amal,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
arbe1236,Albanian,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
aran1261,Aranadan,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
ambr1239,Ambrak,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
arif1239,Miniafia Oyan,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
anka1246,Ankave,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
afad1236,Afade,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
anam1249,Anambé,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
alge1240,Arabic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,-1,0,1,1
para1310,Arára,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
east2544,Abenaki,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
afar1241,Afar,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1
