iso_code,glottocode
adz,adze1240
ain,ainu1240
aka,akan1250
akz,alab1237
ale,aleu1260
alh,alaw1244
als,tosk1239
amc,amah1246
ame,yane1238
amh,amha1245
anc,ngas1240
ant,anta1253
apn,apin1244
arn,mapu1245
ary,moro1292
arz,egyp1253
auy,awiy1238
awn,awng1244
ayr,cent2142
azb,sout2697
bao,waim1255
ben,beng1280
beq,beem1239
bre,bret1244
bsk,buru1296
btx,bata1293
bul,bulg1262
cao,chac1251
car,gali1262
cbi,chac1249
cha,cham1312
chf,taba1266
chp,chip1261
chv,chuv1255
cja,west2650
ckt,chuk1273
cmn,mand1415
cni,asha1243
crb,isla1278
dag,dagb1246
dap,nisi1239
deu,stan1295
dih,kumi1248
ell,mode1248
eng,stan1293
eus,basq1248
eve,even1260
ewe,ewee1241
fia,nobi1240
fin,finn1318
fra,stan1290
gaa,gaaa1244
gaj,gads1258
gbp,gbay1287
gle,iris1253
grt,garo1247
guc,wayu1243
gug,para1311
hak,hakk1236
hau,haus1257
haw,hawa1245
hdn,nort2938
heb,hebr1245
hin,hind1269
hop,hopi1249
hun,hung1274
hup,hupa1239
hye,nucl1235
iai,iaai1238
ibo,nucl1417
ign,igna1246
irk,iraq1241
isl,icel1247
ito,iton1250
ium,iumi1238
jav,java1254
jiv,shua1257
jpn,nucl1643
kal,kala1399
kas,kash1277
kat,nucl1302
kbd,kaba1278
kca,khan1273
ket,kett1243
kfe,kota1263
kha,khas1269
khk,halh1238
khl,lusi1240
khm,cent1989
khr,khar1287
kir,kirg1245
kjn,kunj1245
kmo,kwom1262
knc,cent2050
kor,kore1280
kpv,komi1268
kru,kuru1301
ksw,sgaw1245
kup,kuni1267
kwk,kwak1269
kyh,karo1304
lbc,lakk1238
lbe,lakk1252
lgg,lugb1240
lhu,lahu1253
lit,lith1251
lkt,lako1247
lue,luva1239
lui,luis1253
luo,luok1236
maq,chiq1250
mas,masa1300
maz,cent2144
mhr,east2328
mig,sanm1295
mlt,malt1254
mph,maun1240
mri,maor1246
mrt,marg1265
mya,nucl1310
naq,nama1264
nas,naas1242
nav,nava1243
nez,nezp1238
niv,gily1242
nmu,nort2952
nna,nyan1301
nob,norw1259
noo,noot1239
nuy,nung1290
oca,ocai1244
ojg,east2542
one,onei1249
ood,toho1245
ote,mezq1235
pan,panj1256
pbb,paez1247
pcc,bouy1240
pes,west2369
plt,plat1254
pom,sout2982
por,port1283
pst,cent1973
quh,sout2991
rif,tari1263
ron,roma1327
rus,russ1263
sah,yaku1245
sed,seda1262
see,sene1264
ses,koyr1242
set,nucl1632
sin,sinh1246
snv,saba1265
som,soma1255
spa,stan1288
spl,sele1250
squ,squa1248
srq,siri1273
str,stra1244
sun,sund1252
swh,swah1253
tay,atay1247
tca,ticu1245
tel,telu1262
tew,tewa1260
